model,metric,mean,std,ci_lo,ci_hi,n_seeds
ridge_transfer,MAE,0.4648498112708831,0.033472590875568205,0.4204126553109389,0.5006501091009982,5
ridge_transfer,RMSE,0.6883793448415727,0.04287592887765253,0.6292413015512545,0.7323610995873763,5
ridge_transfer,sMAPE,1.6717598452097302,0.04469371660165872,1.6326575042346079,1.7372968643503854,5
ridge_transfer,MASE,0.8352339890182332,0.022730196489351324,0.8045022690236182,0.8595096974451589,5
ridge_transfer,pinball_loss,0.15908734013156253,0.010799549823025124,0.14477028433845654,0.1714389074182853,5
ridge_transfer,crps,0.31817468026312506,0.021599099646050248,0.2895405686769131,0.3428778148365706,5
ridge_transfer,coverage,0.8805353617102456,0.031050319753785863,0.8526979813664597,0.919658251231527,5
ridge_transfer,width,1.7915850441089236,0.17521706344883192,1.6550446524145812,2.0396537800629413,5
ridge_transfer,winkler,2.5070178077278134,0.13080459302286257,2.354006646167927,2.654333520849591,5
ridge_transfer,train_time_s,1.1075999509557732e-06,2.4829778723712247e-07,9.370999464408669e-07,1.4953999198041855e-06,5
ridge_transfer,inference_time_s,0.0003146808000110468,4.967041079983874e-05,0.0002547757999991518,0.0003704324000068482,5
random_forest,MAE,0.4768075661195666,0.03583908935104118,0.43371588159023255,0.5248124702352134,5
random_forest,RMSE,0.7137793184687201,0.040685138593020614,0.6576576836031522,0.7593241343571605,5
random_forest,sMAPE,1.6085688901948554,0.04728239410182854,1.5508636864682723,1.668601881296565,5
random_forest,MASE,0.8567337630876632,0.028603411667768745,0.8247226558651088,0.8837379693268306,5
random_forest,pinball_loss,0.16263719433281693,0.010450353300300998,0.14907451026466587,0.17546449357297933,5
random_forest,crps,0.32527438866563385,0.020900706600601997,0.29814902052933173,0.35092898714595866,5
random_forest,coverage,0.8989043424716214,0.02110152475829331,0.8747929606625259,0.9220622947454844,5
random_forest,width,2.1503274550939255,0.21938759748651826,1.9610551270407148,2.4527808884035354,5
random_forest,winkler,2.750609513283648,0.11829373147625102,2.66768943645535,2.9230305880605068,5
random_forest,train_time_s,1.5851785414000232,0.20868502157479962,1.4088326910000433,1.858027459200025,5
random_forest,inference_time_s,0.1262305550000292,0.010235415533059207,0.11738939960001744,0.1379496793000726,5
gradient_boosting,MAE,0.4715173602289827,0.03936917029245193,0.4221046476583734,0.5194463699609023,5
gradient_boosting,RMSE,0.6995178621049108,0.04623884350029942,0.6318140187815089,0.7445345783369539,5
gradient_boosting,sMAPE,1.6630269421737125,0.04066708189649059,1.6220774242337577,1.7192159804954905,5
gradient_boosting,MASE,0.8467433215332699,0.027998422704111008,0.8072248294473956,0.8753723887177156,5
gradient_boosting,pinball_loss,0.1570866896523903,0.011302166690874908,0.14119907101233736,0.16916238780314324,5
gradient_boosting,crps,0.3141733793047806,0.022604333381749817,0.2823981420246747,0.3383247756062865,5
gradient_boosting,coverage,0.8802369563169237,0.032518200297262864,0.8549294878321962,0.923429802955665,5
gradient_boosting,width,1.8707315404762745,0.24449032021750258,1.679770286517269,2.1555429358179143,5
gradient_boosting,winkler,2.585066986234045,0.10244673403451802,2.4950920109052053,2.721434774364504,5
gradient_boosting,train_time_s,0.5413860959999965,0.051261114026845245,0.49484001579997994,0.5970808497999542,5
gradient_boosting,inference_time_s,0.005089021400044658,0.0005727174804775572,0.00445324350005194,0.005712033700069697,5
qr_target_only,MAE,0.41776021291773285,0.04570345364948968,0.3523110311343832,0.4625591428107738,5
qr_target_only,RMSE,0.86443222080367,0.06796516695820946,0.761882999110158,0.9178080428413897,5
